VIN,Make,Model,BodyClass,Trim
3gnda13d66s509098,chevrolet,hhr,suv,1/2 ton
1fdne1bw7bdb15300,ford,e-150,van,
1ftne1ew1ada94815,ford,e-150,cargo van,
1g1yy26u475124313,chevrolet,corvette,coupe,
2c8gf68454r376095,chrysler,pacifica,suv,touring
1ftfx1ev7ake47916,ford,f-150,pickup,
1gccs299388185677,chevrolet,colorado,pickup,ls
4a32b2ffxce016737,mitsubishi,galant,sedan,
1j4fa39s66p723147,jeep,wrangler,suv,x
salae25477a421272,land rover,lr3,suv,v6/v8 se
2a8gm48406r883140,chrysler,pacifica,suv,base
3vwrf29m0ym058400,volkswagen,jetta,sedan,
wp0cb29919s756068,porsche,911,convertible,"s cabriolet (2wd), 4s cabriolet (4wd)"
3vwnf71k66m635112,volkswagen,jetta,sedan,
jtjbt20x450094686,lexus,gx,suv,470
1j4fj28s6rl255198,jeep,cherokee,suv,se
wdbba48d3ka094424,mercedes-benz,560,roadster,
2hkyf18465h539828,honda,pilot,suv,
wauffbfm6aa093968,audi,a3,wagon,
3vw7a7at7cm800323,volkswagen,beetle,convertible,
3gnda23d77s567244,chevrolet,hhr,suv,lt
wdbrf61jx4f511703,mercedes-benz,c-class,sedan,
1g1zh57n094226584,chevrolet,malibu,sedan,
1c4gp64l7yb687673,chrysler,town and country,minivan,limited
3gnal4ek2fs519833,chevrolet,captiva sport,suv,
1g1yy24u655104015,chevrolet,corvette,coupe,
jtjbt20x430010136,lexus,gx,suv,470
3gnda13d47s637728,chevrolet,hhr,suv,ls
1j4fa39s06p780069,jeep,wrangler,suv,x
4a32b2ff5ce020209,mitsubishi,galant,sedan,
jm1cr293570146383,mazda,mazda5,wagon,
3gnda23dx7s571983,chevrolet,hhr,suv,lt
1g1zb5eu8bf384659,chevrolet,malibu,sedan,
salae25477a422504,land rover,lr3,suv,v6/v8 se
3gnda33p57s567209,chevrolet,hhr,suv,lt
4m2xv11t4xdj23280,mercury,villager,minivan,
1g1yy26u475105356,chevrolet,corvette,coupe,
2c4rdgdg7er401103,dodge,grand caravan,minivan,crew
jn8bt08v56w200771,nissan,x-trail,suv,
jm3er293770126927,mazda,cx-7,suv,
2g1wc583189157804,chevrolet,impala,sedan,
jm3er293670147929,mazda,cx-7,suv,
1gbhc29k57e569339,chevrolet,silverado,incomplete,lt
1c4njdab7ed815614,jeep,compass,suv,sport
2a4gm684x6r863930,chrysler,pacifica,suv,touring
2c8gm68424r367778,chrysler,pacifica,suv,touring
wdbrf61j14f550518,mercedes-benz,c-class,sedan,
1fmzu73k15ua80891,ford,explorer,suv,
1fmzu72k82ud34528,ford,explorer,suv,
jtjbt20x870131208,lexus,gx,suv,470
5tfrt54107x003089,toyota,tundra,pickup,sr5
jm1fe173440116566,mazda,rx-8,coupe,
1gyee637050236202,cadillac,srx,suv,
2c8gf68424r631348,chrysler,pacifica,suv,touring
1fdne3blxbdb15468,ford,e-350,van,
1g6dc67a950222797,cadillac,sts,sedan,
salty19494a837064,land rover,discovery,suv,leather 5 seat
3c4pddfg6ct148854,dodge,journey,suv,r/t
1c4gp64l5vb307418,chrysler,town and country,minivan,lxi
2c8gm68414r628995,chrysler,pacifica,suv,touring
salme15476a216072,land rover,range rover,suv,hse spec 1
salsf25486a960886,land rover,range rover sport,suv,hse
jn1az34d46m301111,nissan,350z,coupe,
1gtdm19w5yb505776,gmc,safari,cargo van,1/2 ton
jm3er293x70135069,mazda,cx-7,suv,
wdbba48d4ja090137,mercedes-benz,560,roadster,
2lmhj5nk8ebl54751,lincoln,mkt,suv,
3gnda23p26s623941,chevrolet,hhr,suv,1/2 ton
1g6dc67a870196941,cadillac,sts,sedan,v8
1gtec19t3yz340542,gmc,sierra,pickup,1500 (1/2 ton)
wdbrf52h67f903927,mercedes-benz,c-class,sedan,
4t3zf19c5yu314372,toyota,sienna,minivan,ce
1fdne1bw2cda17146,ford,e-150,van,
jf1sf6356xh747685,subaru,forester,suv,l
jn1az34e56m352982,nissan,350z,coupe,
1j4fy49s1xp422305,jeep,wrangler,suv,sahara/tj
1g1yy2181h5110249,chevrolet,corvette,coupe,
wbakc6c59cc395807,bmw,750xi,sedan,750xi / alpina b7 xdrive swb (500 hp)
2c3la73w06h196713,chrysler,300c,sedan,srt8
2c4rdgdg2er307839,dodge,grand caravan,minivan,crew
jf1sg65604h757305,subaru,forester,suv,2.5xs
3gnda23d27s599986,chevrolet,hhr,suv,lt
3gnda23p46s620670,chevrolet,hhr,suv,1/2 ton
3d2ws28t69g526541,dodge,ram,pickup,2500
3gnda13d27s616537,chevrolet,hhr,suv,ls
1c4njcaa5ed834468,jeep,compass,suv,sport
1b4hs28z0xf539928,dodge,durango,suv,base
wbakc6c50cc396490,bmw,750xi,sedan,750xi / alpina b7 xdrive swb (500 hp)
1gyee637380123705,cadillac,srx,suv,
1c4gj44g9yb740317,chrysler,grand voyager,minivan,se fwd
kmhcn3bc7au156081,hyundai,accent,hatchback,
5fnyf18464b001319,honda,pilot,suv,ex
1b3el36t34n339085,dodge,stratus,sedan,se
jf1sg63686h739530,subaru,forester,suv,2.5x
jf1sg69655h704983,subaru,forester,suv,2.5xt
3gnda23d06s503559,chevrolet,hhr,suv,1/2 ton
salsf25446a962537,land rover,range rover sport,suv,hse
wvwad63b15e070738,volkswagen,passat,sedan,
4n2xn11t3xd845102,nissan,quest,minivan,
salwr2vf8ea302302,land rover,range rover sport,suv,hse
2d4fv48v05h126691,dodge,magnum,suv,base/sxt
4m2xv11t2xdj37565,mercury,villager,minivan,
4a32b2ff2ce020295,mitsubishi,galant,sedan,
4t3zf13c7yu257326,toyota,sienna,minivan,le/xle
1g1za5eb3af239805,chevrolet,malibu,sedan,
3g2jb52f75s206305,pontiac,sunfire,sedan,
2g1fp22k8x2123899,chevrolet,camaro,coupe,
1gndx03e6yd139372,chevrolet,venture,minivan,apv
3b7hc13z1xg114086,dodge,ram,pickup,1500
kmhdu45d99u775200,hyundai,elantra,sedan,
salsk25477a108493,land rover,range rover sport,suv,hse spec 3
2fahp71w47x142766,ford,crown victoria,sedan,
1ftrx14w87fb22832,ford,f-150,pickup,
1ftfw1ev4aka75258,ford,f-150,pickup,
4t3gf19c7yu199524,toyota,sienna,minivan,ce
2c3ad36m12h249351,chrysler,concorde,sedan,lxi
jn1az34d73t102880,nissan,350z,coupe,
1fmyu93143kb11414,ford,escape,suv,
2fabp7bv9ax107045,ford,crown victoria,sedan,
2c8gm68434r348947,chrysler,pacifica,suv,touring
1c4njrabxed779978,jeep,patriot,suv,sport
1c4gp64l2xb912872,chrysler,town and country,minivan,limited
3gnda23d86s597478,chevrolet,hhr,suv,1/2 ton
2fahp71v68x100768,ford,crown victoria,sedan,
wbakc8c58cc435872,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
1gyee637840164227,cadillac,srx,suv,
1gyde63a140136261,cadillac,srx,suv,
wbakb8c56cc964580,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
4a32b2ffxce005950,mitsubishi,galant,sedan,
2hjyk16276h523978,honda,ridgeline,pickup,
jm1bk343x71603812,mazda,mazda3,hatchback,
1ftnx20f6xea69063,ford,f-250,pickup,
2c8gf48425r442298,chrysler,pacifica,suv,base
2d4cn1ae8ar438502,dodge,grand caravan,cargo van,c/v
wbahl83587dt10672,bmw,750i,sedan,
1gcek19r1xr108639,chevrolet,gmt-400,pickup,1500 (1/2 ton)
1j4fa49s5yp798091,jeep,wrangler,suv,sport
1ftrx17l2wna75917,ford,f-150,pickup,
1gbdv13wx7d180877,chevrolet,uplander,cargo van,ewb
2c4rdgdg8er385137,dodge,grand caravan,minivan,crew
2g1wc583281308471,chevrolet,impala,sedan,
2c4gp44302r625643,chrysler,town and country,minivan,lx
2c4gf48435r461346,chrysler,pacifica,suv,base
2d8hn44h58r801831,dodge,caravan,minivan,se
4t3zf13cxyu272998,toyota,sienna,minivan,le/xle
1ftfw1ev2ake19721,ford,f-150,pickup,
1ftrx14w36fa60142,ford,f-150,pickup,
1fdbf2a65bea38265,ford,f-250,pickup,
1fmnu40s2yea46507,ford,excursion,suv,
jhmra3864wc011006,honda,odyssey,minivan,lx
1gyee637980147703,cadillac,srx,suv,
1d3hv18p99s826902,dodge,ram,pickup,1500
4a32b2ff2ae004515,mitsubishi,galant,sedan,
wbakc8c53cc436329,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
2mefm75v77x604392,mercury,grand marquis,sedan,
1c4njrab1ed805190,jeep,patriot,suv,sport
km8sc83d51u127345,hyundai,santa fe,suv,
1c4njrab1ed820059,jeep,patriot,suv,sport
2g1fp22k6w2101429,chevrolet,camaro,coupe,
1fdss3bl3bda64715,ford,e-350,van,
1hgen164xxl000461,honda,civic,sedan,gx
jtjht00w174029733,lexus,lx,suv,
km8sb13d96u103292,hyundai,santa fe,suv,
3gnal3ek8fs515764,chevrolet,captiva sport,suv,
2lmhj5nk1ebl54770,lincoln,mkt,suv,
1g1yy22gx45107639,chevrolet,corvette,coupe,
2c8gm68424r633249,chrysler,pacifica,suv,touring
1c4njrab8ed804621,jeep,patriot,suv,sport
1fdne1bw6ada27501,ford,e-150,van,
1gbhg31c781234462,chevrolet,express,incomplete,
4a32b2ff3ce016966,mitsubishi,galant,sedan,
1fdne3bl1bda64832,ford,e-350,van,
2g1ws55r779344054,chevrolet,impala,sedan,
1fmzu73k45ub89488,ford,explorer,suv,
2c4gp44373r295114,chrysler,town and country,minivan,lx
4a32b2ff7ce020227,mitsubishi,galant,sedan,
wbahl835x8dt13560,bmw,750i,sedan,
4a32b2ff6ce022812,mitsubishi,galant,sedan,
salae25486a374820,land rover,lr3,suv,se / v8 se
2mefm74v66x631535,mercury,grand marquis,sedan,
salme11443a134849,land rover,range rover,suv,feature specification 2
1fmdu73k05ub03426,ford,explorer,suv,
wbahl83598dt12478,bmw,750i,sedan,
wp0ca29973s650668,porsche,911,convertible,"cabriolet (2wd), cabriolet 4 (4wd)"
1g6dc67a660197102,cadillac,sts,sedan,v8
4a32b2ff7ce017022,mitsubishi,galant,sedan,
wdbrf52h27e026116,mercedes-benz,c-class,sedan,
1b7gl23y4vs134931,dodge,dakota,pickup,sport/slt
wbakc8c55cc435554,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
jn1az34d53t119984,nissan,350z,coupe,
jtjbt20x260115102,lexus,gx,suv,470
wdbrf52h07a948584,mercedes-benz,c-class,sedan,
wp0ca2999ys652221,porsche,911,convertible,cabrio
2c4gm68475r589333,chrysler,pacifica,suv,touring
2c4rdgdg0er350656,dodge,grand caravan,minivan,crew
2fmda5244xbb52721,ford,windstar,minivan,
1ftyr14v1yta59864,ford,ranger,pickup,
1g1yy22p3t5104516,chevrolet,corvette,coupe,
jm1fe173050160274,mazda,rx-8,coupe,
4a32b2ff6ce015391,mitsubishi,galant,sedan,
wbakb8c52bcy65575,bmw,750li,sedan,
wbxpc734x8we51738,bmw,x3,suv,3.0si sav
1gcdc14k8lz274637,chevrolet,gmt-400,pickup,
1fmfk20577la45484,ford,expedition max,suv,
2g1wc583581346891,chevrolet,impala,sedan,
1j4fy49s6wp716166,jeep,wrangler,suv,sahara/tj
wbakb8c5xcdx20375,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
4a32b2ff2ce022015,mitsubishi,galant,sedan,
jf1sg69646h714163,subaru,forester,suv,2.5xt
4a32b2ff4ce015485,mitsubishi,galant,sedan,
2d4fv48v35h654385,dodge,magnum,suv,base/sxt
2fafp71w92x103624,ford,crown victoria,sedan,
1gmdx03e7wd269162,pontiac,trans sport,minivan,
2c4rdgdg3er204672,dodge,grand caravan,minivan,crew
wdapf3cc5d9552697,mercedes-benz,sprinter,incomplete,standard roof
wbakb8c55cc964229,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
jm1fe17n440120229,mazda,rx-8,coupe,
137fa90362e197965,hummer,h1,truck,
1j4fa39s76p712951,jeep,wrangler,suv,x
1fmpu16l5ylb04497,ford,expedition,suv,
1fmzu63k22zc62723,ford,explorer,suv,
salsk25427a106196,land rover,range rover sport,suv,hse spec 3
3b7hf13z9vg798602,dodge,ram,pickup,1500
1fmzu62k72zc62542,ford,explorer,suv,
jm1bk343471661642,mazda,mazda3,hatchback,
jtjbt20x060118189,lexus,gx,suv,470
3gnal3ek0fs522899,chevrolet,captiva sport,suv,
wdbrf52h27f934110,mercedes-benz,c-class,sedan,
2d8fv47v06h123792,dodge,magnum,suv,base/sxt
salmf15446a214700,land rover,range rover,suv,hse / supercharged spec 2
5tfrv54187x019907,toyota,tundra,pickup,sr5
2lmhj5nk2ebl54678,lincoln,mkt,suv,
wddfh33x76j050108,mercedes-benz,unknown,unknown,
salaa25405a301841,land rover,lr3,suv,standard
4m2xv11t5xdj36295,mercury,villager,minivan,
saltl15412a751247,land rover,discovery,suv,duragrain 5 seat
wdcyr49e83x139703,mercedes-benz,g-class,suv,
jh4kb16575c016471,acura,rl,sedan,
5tfbv54157x011149,toyota,tundra,pickup,sr5
2d4fv47v66h443636,dodge,magnum,suv,base/sxt
waukfafl0an003173,audi,a4,sedan,
2fahp71w47x149281,ford,crown victoria,sedan,
2c8gf68435r502262,chrysler,pacifica,suv,touring
jm3er293270168468,mazda,cx-7,suv,
salty19424a855941,land rover,discovery,suv,leather 5 seat
5yfbu4ee9bp002539,toyota,corolla,sedan,
2d8hn44h88r772115,dodge,caravan,minivan,se
1j4fa44s26p702826,jeep,wrangler,suv,sport/unlimited
1j4fa39s26p723176,jeep,wrangler,suv,x
jn1az34d64m101957,nissan,350z,coupe,
jm1fe17n850143143,mazda,rx-8,coupe,
2hkrl1869yh577086,honda,odyssey,minivan,ex
wp0ab29988s730069,porsche,911,coupe,"s (2wd), 4s (4wd)"
1lnhm82v76y616427,lincoln,town car,sedan,
1gndx03e3xd102133,chevrolet,venture,minivan,
2c4rvadg8er135374,volkswagen,routan,minivan,sel
saltl15402a741700,land rover,discovery,suv,duragrain 5 seat
jm1fe173650146511,mazda,rx-8,coupe,
1b4hs28z3xf660159,dodge,durango,suv,base
5y2sr67049z476753,pontiac,vibe,hatchback,
1fmpu16l8ylb71370,ford,expedition,suv,
jn1az34d55m606440,nissan,350z,coupe,
wbaka8c59cds99526,bmw,750i,sedan,750i / alpina b7 swb (500 hp)
wbakb8c57bcy64986,bmw,750li,sedan,
1g1yy26u475118298,chevrolet,corvette,coupe,
jm1cr293760103971,mazda,mazda5,wagon,
4a32b2ff3ce017471,mitsubishi,galant,sedan,
jtjbt20x660120108,lexus,gx,suv,470
3gnal3ek9fs518897,chevrolet,captiva sport,suv,
jf1sg63633h713137,subaru,forester,suv,2.5x
2hkyf18504h556051,honda,pilot,suv,ex-l
wbahl83537dt07534,bmw,750i,sedan,
jtjbt20x270129695,lexus,gx,suv,470
2a8gf68416r693322,chrysler,pacifica,suv,touring
2d4fv48v45h692417,dodge,magnum,suv,base/sxt
2hkrl1854xh521322,honda,odyssey,minivan,lx
3gnda23d57s640188,chevrolet,hhr,suv,lt
salag25446a361928,land rover,lr3,suv,v8 hse
1b4hs28z0xf592032,dodge,durango,suv,base
4a32b2ff9ce021766,mitsubishi,galant,sedan,
2b4gp2539yr855450,dodge,caravan,minivan,base
1j4fa49s56p764665,jeep,wrangler,suv,sport/unlimited
jtjbt20x650095550,lexus,gx,suv,470
3gnda23d37s514623,chevrolet,hhr,suv,lt
3gnda33p97s549294,chevrolet,hhr,suv,lt
wbaka8c50cc447021,bmw,750i,sedan,750i / alpina b7 swb (500 hp)
jf1sg65665h733916,subaru,forester,suv,2.5xs
1j4fa49sxyp710202,jeep,wrangler,suv,sport
4a32b2ff0ce020246,mitsubishi,galant,sedan,
1g6dc67a250142919,cadillac,sts,sedan,
1c4gp64l3yb628636,chrysler,town and country,minivan,limited
jm1bk34l471690767,mazda,mazda3,hatchback,
jtjht00w743546973,lexus,lx,suv,470
2gtec19v1x1516674,gmc,sierra,pickup,1500 (1/2 ton)
1ftfw1ev8aka27617,ford,f-150,pickup,
jf1sg63694h706520,subaru,forester,suv,2.5x
4a32b2ff5ce020596,mitsubishi,galant,sedan,
2lmhj5nk4ebl55993,lincoln,mkt,suv,
2hkyf18606h550326,honda,pilot,suv,ex-l( with res)
2c3hd36m72h284328,chrysler,concorde,sedan,lxi
1b3ej46x3tn312059,dodge,stratus,sedan,base/ja-h-41(export)(gcc)
1gyee63a670130478,cadillac,srx,suv,
1j4fy19s1xp449745,jeep,wrangler,suv,sport/tj
jtjbt20x130019845,lexus,gx,suv,470
wbakc8c51cc436216,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
wdbrf61j54f550540,mercedes-benz,c-class,sedan,
4m2zu52pxwuj45772,mercury,mountaineer,suv,
2a4rr4de4ar220253,chrysler,town and country,minivan,lx
1fmeu17l6vla48958,ford,expedition,suv,
2gtek13z461289154,gmc,sierra,pickup,1500 (1/2 ton)
1fmeu5b88aua27124,ford,explorer sport trac,suv,
jtjbt20x260113706,lexus,gx,suv,470
jf1sg63613h724766,subaru,forester,suv,2.5x
4a32b2ff0be025672,mitsubishi,galant,sedan,
wbaka8c56cdx01020,bmw,750i,sedan,750i / alpina b7 swb (500 hp)
2c8gf68404r561350,chrysler,pacifica,suv,touring
3gnfk12y09g210854,chevrolet,avalanche,sut,ls
2d8hn44h68r116236,dodge,caravan,minivan,se
wdbrf52h37a944237,mercedes-benz,c-class,sedan,
salmb11483a115682,land rover,range rover,suv,feature specification 1
1gcec14t6yz184066,chevrolet,silverado,pickup,
jn1az34dx6m309990,nissan,350z,coupe,
1gcec19r1ve141643,chevrolet,gmt-400,pickup,1500 (1/2 ton)
1fmfu18l0vlb59542,ford,expedition,suv,
1gbdv13178d141251,chevrolet,uplander,cargo van,ewb
3gnda33p37s516890,chevrolet,hhr,suv,lt
2fahp71v69x139605,ford,crown victoria,sedan,
4a32b2ff8ce018552,mitsubishi,galant,sedan,
jtjbt20x970138586,lexus,gx,suv,470
2d4fv48v15h605752,dodge,magnum,suv,base/sxt
2g1fp22k1x2124148,chevrolet,camaro,coupe,
1g1yy24ux55116393,chevrolet,corvette,coupe,
jm1fe17nx40123944,mazda,rx-8,coupe,
wp0ab29988s732503,porsche,911,coupe,"s (2wd), 4s (4wd)"
wp0ab29919s722249,porsche,911,coupe,"s (2wd), 4s (4wd)"
4a32b2ffxce020609,mitsubishi,galant,sedan,
2b4gp2538yr884597,dodge,caravan,minivan,base
1gys4bkj7f9260117,cadillac,escalade,suv,
2hkrl1868yh576155,honda,odyssey,minivan,ex
1b3el46t95n612117,dodge,stratus,sedan,sxt
1j4gw58nxxc794065,jeep,grand cherokee,suv,laredo
2a4rr4de3ar356860,chrysler,town and country,minivan,lx
kmhd25lh0eu160482,hyundai,unknown,hatchback,
1j4fa39s96p782709,jeep,wrangler,suv,x
1gyee637940144245,cadillac,srx,suv,
wbakc8c52cc436211,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
1ftfx1ev6aka75310,ford,f-150,pickup,
jm1fe17n240140138,mazda,rx-8,coupe,
1fafp5521ya262120,ford,taurus,sedan,
2d8hn44h68r641992,dodge,caravan,minivan,se
wbakb8c55cc962965,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
1ftfw1ev8ake01160,ford,f-150,pickup,
wbxpc73498we52847,bmw,x3,suv,3.0si sav
4m2du55p6xuj09309,mercury,mountaineer,suv,
jm3er293070148851,mazda,cx-7,suv,
wbakb8c50cc965336,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
salsf25486a911199,land rover,range rover sport,suv,hse
jtjbt20x160118346,lexus,gx,suv,470
2a4gm68446r814450,chrysler,pacifica,suv,touring
2c4rvabg7er134428,volkswagen,routan,minivan,se
jn1az34d66m306150,nissan,350z,coupe,
2c4rdgdg9er385146,dodge,grand caravan,minivan,crew
wdcyr71e45x159902,mercedes-benz,g-class,suv,
wdbea30d0ha434348,mercedes-benz,300,sedan,
4a32b2ff7ce024844,mitsubishi,galant,sedan,
1gyee637x80107162,cadillac,srx,suv,
wba5m2c50fgh99081,bmw,535i,sedan,gt
salmf1e40ca379123,land rover,range rover,suv,hse lux
1fmzu63kx5ua10929,ford,explorer,suv,
2c8gf68484r335797,chrysler,pacifica,suv,touring
3gnda23p76s679485,chevrolet,hhr,suv,1/2 ton
jthbf5c25d2103148,lexus,is,sedan,250
shsrd788044240602,honda,cr-v,suv,ex
1lnhm81v87y615287,lincoln,town car,sedan,
1fmdu32p2tzb29385,ford,explorer,suv,
jm1fe173470210628,mazda,rx-8,coupe,
2hkrl1863yh581196,honda,odyssey,minivan,ex
5tbrt54187s450851,toyota,tundra,pickup,sr5
2lmhj5nk4ebl54956,lincoln,mkt,suv,
1d8hd48n38f122733,dodge,durango,suv,slt
1fmru17l7wlb71168,ford,expedition,suv,
1fdxf46f42eb91925,ford,f-450,incomplete - chassis cab (number of cab unknown),super duty
1g1yy26ux75109217,chevrolet,corvette,coupe,
2fahp71v39x148830,ford,crown victoria,sedan,
jf1sg63643h739763,subaru,forester,suv,2.5x
jm1bk343071737955,mazda,mazda3,hatchback,
1ftrx18l5yka10952,ford,f-150,pickup,
kl1td69636b685157,chevrolet,aveo,hatchback,
1c4njrab6ed805184,jeep,patriot,suv,sport
jtjbt20x230012290,lexus,gx,suv,470
1fmzu63k45ua97081,ford,explorer,suv,
wbxpc73447we50423,bmw,x3,suv,3.0si sav
2gcek13z561308794,chevrolet,silverado,pickup,
1gnec16t53j127112,chevrolet,suburban,suv,1/2 ton
jtjht00w943547221,lexus,lx,suv,470
3gnda23d96s571133,chevrolet,hhr,suv,1/2 ton
1fmfk195x7la34413,ford,expedition max,suv,
1ftne1ew0ada63586,ford,e-150,cargo van,
wbakb8c50cc962758,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
1g1yy22g035119748,chevrolet,corvette,sedan,
2a8gf68466r696359,chrysler,pacifica,suv,touring
2fafp71w52x132473,ford,crown victoria,sedan,
salsk25457a998430,land rover,range rover sport,suv,hse spec 3
1ftfw1ev9akb67076,ford,f-150,pickup,
3c4pdccbxet243889,dodge,journey,suv,sxt
jm1fe173740123737,mazda,rx-8,coupe,
1ftfx1ev9aka50112,ford,f-150,pickup,
1ftcr14x2rpb22167,ford,ranger,pickup,
1gkek13t8yj166983,gmc,yukon,suv,1500 (1/2 ton)
1ftyr14v9ypa97075,ford,ranger,pickup,
2c8gm68474r638642,chrysler,pacifica,suv,touring
1c4njdab3ed820017,jeep,compass,suv,sport
1c4njrab1ed804668,jeep,patriot,suv,sport
km8sc83d71u111616,hyundai,santa fe,suv,
4m2dv11w1tdj17685,mercury,villager,minivan,
2g1fp22k9w2103143,chevrolet,camaro,coupe,
1gcjtbd96a8107802,chevrolet,colorado,pickup,work truck
wbakb8c57cc963969,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
3gnda33p07s626666,chevrolet,hhr,suv,lt
2hjyk16236h524268,honda,ridgeline,pickup,
1c4njrab4ed820072,jeep,patriot,suv,sport
2a4gm48436r610131,chrysler,pacifica,suv,base
1b3el36t64n113333,dodge,stratus,sedan,se
2c4rdgdg2er315410,dodge,grand caravan,minivan,crew
jtjbt20x660122117,lexus,gx,suv,470
2hkrl1868yh512875,honda,odyssey,minivan,ex
1gcdm19w2yb171013,chevrolet,astro van,cargo van,1/2 ton
salsh23467a110723,land rover,range rover sport,suv,supercharged
1c4njdab1ed820002,jeep,compass,suv,sport
wbakc6c52cc395910,bmw,750xi,sedan,750xi / alpina b7 xdrive swb (500 hp)
kl1jk62z34k027269,chevrolet,optra,hatchback,5 door
2hkrl1858yh548606,honda,odyssey,minivan,lx
1gdjg31u541117913,gmc,savana,incomplete,3500 (1 ton)
2g1fp22k4v2103565,chevrolet,camaro,coupe,
1fdss3bl1ada89174,ford,e-350,van,
1gyde63ax40127655,cadillac,srx,suv,
jtjbt20x940061651,lexus,gx,suv,470
1fdne1bw9bdb21583,ford,e-150,van,
wbahl83577dt08394,bmw,750i,sedan,
2c8gm48l35r527647,chrysler,pacifica,suv,base
3gnda13d27s562253,chevrolet,hhr,suv,ls
1b4gp54l6tb437714,dodge,caravan,minivan,le/es
1ftrx18l7xka70603,ford,f-150,pickup,
wbakc8c57cc435751,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
2c4gm68485r280292,chrysler,pacifica,suv,touring
2mefm74v17x618032,mercury,grand marquis,sedan,
1g6kr5ey5au115197,cadillac,dts,sedan,
salme15416a230193,land rover,range rover,suv,hse spec 1
wdbrf52h77f915469,mercedes-benz,c-class,sedan,
2c4gm48l55r599001,chrysler,pacifica,suv,base
5fnyf18695b042952,honda,pilot,suv,with res
2g1wc583189168236,chevrolet,impala,sedan,
4f4yr16vx3tm08467,mazda,b-series,pickup,
2a4gm68426r715173,chrysler,pacifica,suv,touring
